sub-verse503,sub-verse503_dir-ax
sub-verse627,sub-verse627
sub-verse506,sub-verse506_dir-iso
sub-verse612,sub-verse612
sub-gl352,sub-gl352
sub-verse615,sub-verse615
sub-verse558,sub-verse558_dir-sag
sub-verse546,sub-verse546_dir-ax
sub-verse532,sub-verse532_dir-ax
sub-verse754,sub-verse754_dir-sag
sub-verse835,sub-verse835_dir-iso
sub-verse607,sub-verse607_dir-sag
sub-verse554,sub-verse554
sub-verse605,sub-verse605_dir-sag
sub-gl216,sub-gl216_dir-ax
sub-verse525,sub-verse525_dir-sag
sub-verse803,sub-verse803_dir-iso
sub-verse764,sub-verse764_dir-iso
sub-verse592,sub-verse592_dir-ax
sub-verse640,sub-verse640
sub-verse508,sub-verse508_dir-ax
sub-verse701,sub-verse701
sub-verse646,sub-verse646_dir-iso
sub-verse577,sub-verse577_dir-ax
sub-verse710,sub-verse710_dir-iso
sub-verse620,sub-verse620_dir-iso
sub-verse801,sub-verse801_dir-iso
sub-verse596,sub-verse596_dir-ax
sub-verse719,sub-verse719
sub-verse705,sub-verse705
sub-gl068,sub-gl068
sub-verse510,sub-verse510_dir-ax
sub-verse818,sub-verse818_dir-ax
sub-verse717,sub-verse717
sub-gl428,sub-gl428_dir-ax
sub-gl492,sub-gl492_dir-ax
sub-verse765,sub-verse765
sub-gl479,sub-gl479
sub-verse631,sub-verse631
sub-verse713,sub-verse713
sub-verse591,sub-verse591_dir-iso
sub-verse514,sub-verse514_dir-ax
sub-verse768,sub-verse768_dir-ax
sub-verse761,sub-verse761
sub-verse603,sub-verse603
sub-verse809,sub-verse809_dir-iso
sub-verse756,sub-verse756_dir-iso
sub-verse565,sub-verse565_dir-ax
sub-verse517,sub-verse517_dir-iso
sub-verse641,sub-verse641_dir-ax
sub-verse552,sub-verse552_dir-ax
sub-gl016,sub-gl016_dir-ax
sub-verse651,sub-verse651_dir-iso
sub-gl108,sub-gl108_dir-ax
sub-verse534,sub-verse534_dir-iso
sub-verse526,sub-verse526_dir-iso
sub-gl348,sub-gl348_dir-ax
sub-verse763,sub-verse763
sub-verse537,sub-verse537_dir-iso
sub-verse572,sub-verse572_dir-sag
sub-verse590,sub-verse590_dir-iso
sub-verse536,sub-verse536_dir-ax
sub-verse535,sub-verse535_dir-iso
sub-verse707,sub-verse707
sub-verse708,sub-verse708_dir-iso
sub-verse703,sub-verse703
sub-verse509,sub-verse509_dir-iso
sub-gl144,sub-gl144
sub-verse752,sub-verse752_dir-ax
sub-verse529,sub-verse529
sub-verse814,sub-verse814
sub-gl380,sub-gl380
sub-verse578,sub-verse578_dir-iso
sub-verse573,sub-verse573
sub-verse551,sub-verse551_dir-iso
sub-verse647,sub-verse647_dir-sag
sub-verse542,sub-verse542_dir-iso
sub-verse599,sub-verse599_dir-iso
sub-verse606,sub-verse606
sub-gl017,sub-gl017
sub-verse762,sub-verse762_dir-iso
sub-verse706,sub-verse706_dir-sag
sub-gl059,sub-gl059
sub-verse531,sub-verse531
sub-verse833,sub-verse833_dir-ax
sub-verse549,sub-verse549
sub-verse817,sub-verse817
sub-verse560,sub-verse560_dir-iso
sub-verse759,sub-verse759
sub-gl217,sub-gl217_dir-ax
sub-verse704,sub-verse704_dir-iso
sub-verse808,sub-verse808_dir-iso
sub-verse629,sub-verse629_dir-ax
sub-verse751,sub-verse751_dir-sag
sub-verse518,sub-verse518_dir-ax
sub-verse584,sub-verse584_dir-ax
sub-verse550,sub-verse550_dir-iso
sub-verse580,sub-verse580
sub-verse645,sub-verse645
sub-verse712,sub-verse712_dir-iso
sub-verse582,sub-verse582_dir-iso
sub-verse512,sub-verse512_dir-iso
sub-verse649,sub-verse649_dir-sag
sub-verse650,sub-verse650_dir-iso
sub-verse500,sub-verse500_dir-ax
sub-gl090,sub-gl090_dir-ax
sub-verse581,sub-verse581_dir-ax
sub-verse585,sub-verse585
sub-verse767,sub-verse767
sub-verse533,sub-verse533_dir-ax
sub-verse823,sub-verse823_dir-iso
sub-gl419,sub-gl419_dir-ax
sub-verse571,sub-verse571
sub-verse519,sub-verse519_dir-iso
sub-verse626,sub-verse626_dir-iso
sub-verse540,sub-verse540_dir-iso
sub-verse511,sub-verse511_dir-ax
sub-verse802,sub-verse802
sub-verse702,sub-verse702_dir-sag
sub-verse709,sub-verse709
sub-verse750,sub-verse750_dir-ax
sub-verse597,sub-verse597_dir-iso
sub-verse601,sub-verse601
sub-verse598,sub-verse598
sub-verse587,sub-verse587_dir-iso
sub-verse513,sub-verse513
sub-gl364,sub-gl364_dir-ax
sub-verse621,sub-verse621
sub-gl295,sub-gl295_dir-ax
sub-gl453,sub-gl453_dir-ax
sub-verse714,sub-verse714_dir-iso
sub-verse813,sub-verse813_dir-sag
sub-verse502,sub-verse502_dir-iso
sub-verse805,sub-verse805
sub-verse524,sub-verse524_dir-iso
sub-verse643,sub-verse643
sub-gl279,sub-gl279_dir-ax
sub-verse617,sub-verse617_dir-iso
sub-verse816,sub-verse816
sub-verse563,sub-verse563_dir-iso
sub-verse715,sub-verse715
sub-verse642,sub-verse642_dir-sag
sub-verse711,sub-verse711
sub-verse559,sub-verse559
sub-verse507,sub-verse507_dir-ax
sub-verse561,sub-verse561_dir-sag
sub-verse588,sub-verse588
sub-verse553,sub-verse553
sub-verse541,sub-verse541_dir-ax
sub-verse505,sub-verse505
sub-verse821,sub-verse821
sub-verse600,sub-verse600_dir-ax
sub-verse569,sub-verse569
sub-verse623,sub-verse623
sub-verse586,sub-verse586_dir-iso
sub-verse815,sub-verse815
sub-verse755,sub-verse755
sub-verse522,sub-verse522
sub-verse618,sub-verse618
sub-verse576,sub-verse576
sub-verse700,sub-verse700_dir-sag
sub-verse766,sub-verse766_dir-ax
sub-verse820,sub-verse820_dir-ax
sub-verse564,sub-verse564_dir-iso
sub-gl146,sub-gl146_dir-ax
sub-gl045,sub-gl045
sub-verse602,sub-verse602_dir-iso
sub-verse504,sub-verse504_dir-iso
sub-verse557,sub-verse557_dir-ax
sub-verse539,sub-verse539_dir-ax
sub-verse806,sub-verse806
sub-gl240,sub-gl240_dir-ax
sub-verse753,sub-verse753
sub-verse613,sub-verse613_dir-iso
sub-gl153,sub-gl153
sub-verse811,sub-verse811_dir-ax
sub-gl099,sub-gl099
sub-verse604,sub-verse604_dir-iso
sub-verse609,sub-verse609
sub-verse521,sub-verse521_dir-ax
sub-verse826,sub-verse826
sub-verse804,sub-verse804_dir-iso
sub-verse636,sub-verse636
sub-verse825,sub-verse825_dir-ax
sub-verse614,sub-verse614
sub-verse824,sub-verse824_dir-ax
sub-verse760,sub-verse760_dir-iso
sub-verse547,sub-verse547
sub-verse648,sub-verse648_dir-iso
sub-verse769,sub-verse769
sub-gl247,sub-gl247_dir-ax
sub-gl124,sub-gl124_dir-ax
sub-verse757,sub-verse757
sub-verse530,sub-verse530
sub-verse644,sub-verse644
sub-gl003,sub-gl003_dir-ax
sub-verse555,sub-verse555_dir-iso
sub-gl047,sub-gl047_dir-ax
sub-verse594,sub-verse594_dir-ax
sub-gl195,sub-gl195_dir-ax
sub-verse556,sub-verse556_dir-ax
sub-verse810,sub-verse810_dir-iso
sub-verse545,sub-verse545_dir-ax
sub-verse619,sub-verse619_dir-ax
sub-verse593,sub-verse593_dir-sag
sub-verse807,sub-verse807_dir-ax
sub-verse635,sub-verse635
sub-verse758,sub-verse758_dir-sag
sub-verse718,sub-verse718_dir-iso
sub-verse716,sub-verse716_dir-iso
sub-verse570,sub-verse570_dir-iso
sub-verse527,sub-verse527_dir-ax
sub-verse616,sub-verse616_dir-iso
sub-verse544,sub-verse544_dir-ax
