,left,right
s0883,0,0
s0322,0,0
s0612,47408,42720
s1006,38886,40507
s0656,27489,18001
s0734,0,0
s0293,52296,49716
s1359,0,84187
s0022,41113,44335
s0911,0,0
s1176,0,0
s0122,37732,0
s1014,0,0
s0879,0,0
s0777,1944,36
s0808,3,0
s0137,35120,39847
s0838,0,0
s0156,0,0
s1223,44443,46784
s0259,0,0
s0310,46,0
s0030,41736,42304
s0810,0,0
s0600,65466,62372
s1004,0,0
s1368,46807,48237
s0703,62660,61567
s0312,0,0
s0620,52570,22117
s0072,37216,37409
s1332,0,0
s0056,0,0
s1238,61337,56289
s0677,0,0
s0057,0,0
s0959,31595,29787
s0379,0,0
s0062,77786,93328
s0083,0,0
s1049,0,0
s0069,0,0
s0719,0,0
s0372,0,0
s1196,0,0
s0499,3217,3306
s1233,36092,41403
s0461,46442,49660
s1182,0,0
s0296,0,0
s1208,41451,42688
s0763,49912,48633
s0266,0,0
s0568,0,0
s0971,63226,61611
s1380,40765,40143
s0572,0,0
s1215,0,0
s0079,0,0
s0095,53029,47489
s0671,0,0
s1011,0,0
s0621,48015,48674
s1395,45620,44262
s0985,38175,39853
s0972,0,0
s0697,0,0
s0001,18937,20533
s0447,36783,38548
s1394,54693,52282
s1012,56759,58894
s1043,0,0
s0878,45003,43599
s0560,0,0
s0903,0,0
s0859,57971,63435
s0354,9,0
s1291,38511,36196
s0303,0,0
s0774,127082,123899
s1226,0,0
s0436,40694,43848
s0435,0,0
s0775,0,0
s1221,0,0
s1035,0,0
s0543,62530,62087
s1350,15330,10914
s1058,0,0
s0487,0,0
s0805,0,0
s1289,0,0
s0956,0,0
s0791,0,0
s1024,41028,39998
s0768,33866,35039
s0492,0,0
s1070,38744,40507
s0898,0,0
s0894,52231,57459
s1128,43415,42621
s0441,48991,48321
s0925,0,0
s0172,0,0
s0443,50608,53289
s0067,0,0
s0255,37516,38318
s0664,47895,41686
s0871,0,0
s1243,0,0
s0473,49367,48755
s0050,35755,47045
s0240,0,0
s0778,53414,53230
s0530,0,0
s0085,0,0
s0414,0,0
s0316,0,0
s1252,127421,128445
s0470,0,0
s1305,0,0
s0065,46422,47060
s1156,71615,0
s1342,0,0
s0962,1969,2180
s1366,42883,41467
s0147,49785,48548
s1020,9191,19758
s0249,0,0
s1073,0,0
s0015,50327,50309
s0845,0,0
s0063,0,0
s1003,0,0
s0314,54126,56188
s0382,0,0
s0003,0,0
s0365,0,0
s0117,41360,36833
s0788,0,0
s0279,0,0
s0150,51867,46648
s1143,64208,63524
s0945,31795,31717
s0025,0,0
s1254,0,0
s0390,61951,56507
s0645,0,0
s0682,56447,55351
s0486,0,0
s0647,1578,1716
s1228,34842,37352
s0842,39427,48357
s0674,0,0
s0350,48446,49288
s1184,0,0
s0602,40077,35781
s1016,81274,68895
s1148,0,0
s0982,64207,78140
s0750,0,0
s0439,0,0
s0852,0,0
s0511,0,0
s0825,0,0
s0019,61116,55996
s0727,25087,20999
s0139,47183,46324
s1065,0,0
s0943,112203,111919
s0433,0,0
s0037,0,0
s0270,0,0
s0553,33630,31094
s1383,66048,63074
s1122,0,0
s0891,0,0
s0594,0,0
s1322,46297,45901
s0166,41320,40892
s0456,34218,34240
s0209,0,0
s1267,54799,53889
s0185,0,0
s0711,54210,53776
s0861,38219,39971
s1031,48501,48372
s1236,0,0
s0869,60230,58643
s0908,0,0
s0610,0,0
s0457,0,0
s0220,0,0
s0850,98159,0
s1036,0,0
s0472,35663,32394
s0330,0,0
s0402,50706,46374
s0163,47674,46708
s0752,0,0
s0576,0,0
s0601,47274,46397
s0029,11737,158
s0061,0,0
s0724,96451,97260
s0329,50891,54890
s1349,56868,53912
s0228,33401,32556
s0049,65350,70170
s0495,34447,34041
s0016,56524,52692
s1068,33341,39596
s0536,55911,59281
s0410,0,0
s0979,62269,60253
s1403,61308,61726
s0659,0,0
s0333,0,0
s1075,0,0
s0667,70910,69269
s0571,36498,35179
s1249,46649,47686
s0396,0,0
s0206,42512,38743
s0360,0,0
s0663,45981,42852
s0607,57622,61172
s0194,45108,40006
s1400,59384,59647
s1372,19872,0
s0032,0,0
s0606,0,0
s1220,0,0
s0490,0,0
s1201,0,0
s0532,0,0
s0994,63063,63590
s1235,0,0
s0334,47279,49231
s0527,0,0
s0890,0,0
s0921,52788,58433
s0822,0,0
s1093,0,0
s1344,37479,38139
s1317,0,0
s1261,0,0
s1257,0,0
s0961,43062,43962
s0865,0,0
s1241,0,0
s0102,0,0
s0400,0,0
s0846,0,0
s0339,33386,37301
s0031,49754,50911
s0884,55378,51509
s0583,30953,33581
s0327,58433,56367
s1039,0,0
s1227,0,0
s0713,0,0
s0477,35282,35664
s1174,62186,59974
s1347,48622,49320
s1225,52,0
s0549,59131,61665
s0510,2,0
s0821,0,0
s0958,0,0
s0353,0,0
s0227,27558,26945
s0922,0,0
s1259,0,0
s0355,67919,66800
s0564,40240,39312
s1268,0,0
s1158,0,0
s1021,0,0
s1044,61631,61840
s0801,56471,55516
s1224,53117,50995
s0124,54565,54411
s0099,0,0
s0224,64340,70734
s1056,0,0
s0238,37176,37975
s1079,0,0
s1316,0,0
s1240,0,0
s1377,52209,51962
s0398,0,0
s1055,0,0
s0681,0,0
s1034,0,0
s1050,64059,79215
s0392,0,0
s0157,42264,36555
s0784,0,0
s0746,50945,48120
s0831,192555,191549
s0709,0,0
s0806,69656,70182
s0773,0,0
s0578,33951,36134
s0589,36411,34783
s1190,0,0
s0311,37197,40581
s0346,0,0
s1157,0,0
s0830,61546,63399
s0650,52532,52063
s0425,138,0
s0639,43082,39326
s0874,0,0
s1207,28243,29573
s0804,39481,11650
s0111,0,0
s1250,0,0
s0676,0,0
s1001,0,0
s0636,31506,32307
s0963,38296,37347
s0092,26780,27513
s0212,53162,50617
s1046,48445,57358
s0190,35530,32640
s0074,45944,46510
s0744,0,0
s0595,0,0
s1115,0,0
s1337,0,0
s1067,0,0
s0548,71126,67586
s0832,0,0
s0154,0,0
s0901,0,0
s0219,0,0
s1397,54964,57427
s1281,0,0
s1375,0,0
s0968,0,0
s0669,60387,62186
s0247,0,0
s0105,0,0
s0739,48951,49316
s0110,0,0
s1303,193212,0
s0738,0,0
s0952,0,0
s0491,0,0
s0731,36715,33660
s0815,90649,102778
s0494,40690,39547
s0098,40032,38327
s0362,65334,65976
s0188,42095,42702
s1167,0,0
s1294,34046,34313
s0847,0,0
s1339,33199,33059
s0646,73913,64028
s0591,5024,108
s0048,0,0
s0930,0,0
s0286,0,0
s0320,54785,50782
s0965,34770,37000
s1077,0,0
s1363,16640,11915
s0338,0,0
s0450,45387,40640
s0855,0,0
s0112,0,0
s0115,0,0
s0557,0,0
s0509,53174,59092
s0423,74439,74055
s0685,178589,172306
s1041,51800,95379
s0174,32886,31186
s0762,56339,52854
s1191,0,0
s0406,58176,53476
s1146,0,0
s1335,0,0
s1385,27205,23208
s1045,56725,53968
s0401,41014,40435
s0245,0,0
s1053,101973,0
s0866,0,0
s0175,0,0
s0386,0,0
s0653,0,0
s1153,0,0
s0250,55464,55751
s0785,0,0
s0787,0,0
