,total_voxels,left_1,right_1,left_2,right_2,left_3,right_3,left_4,right_4,left_5,right_5,left_6,right_6,left_7,right_7,left_8,right_8,left_9,right_9,left_10,right_10,left_11,right_11,left_12,right_12
s0883,31154,0,0,844,318,2933,552,5487,71,6171,170,6848,0,4359,0,1888,0,1099,0,414,0,0,0,0,0
s0322,115846,3668,3048,3716,3810,3904,4374,5240,5390,5989,6581,6959,7565,7618,7100,7344,6920,6182,6186,4084,4453,2207,2562,415,531
s0612,71121,1997,2244,2565,2335,2535,2905,3327,3310,3641,3465,4391,4666,4139,4724,3775,4063,3270,3273,2768,2854,1684,1806,660,724
s1006,85452,2014,1973,2671,2661,3510,3375,4434,4712,4996,5428,5456,5673,5694,5681,4174,4300,3837,4008,3278,3217,1915,1627,417,401
s0656,83186,3766,7897,2860,2643,3570,3237,3788,4004,4318,4268,5077,5136,4609,5263,4176,4501,3671,0,3028,3090,1688,1871,432,293
s0734,33779,3598,3144,3235,3416,3784,3653,4047,4627,2998,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0293,57086,0,0,0,0,0,0,0,191,109,1615,2159,2921,3807,4233,5665,4673,6321,6304,5953,4822,3122,3053,978,1160
s1359,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0
s0022,22636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,1072,1105,1621,2170,3316,3393,4036,2545,2842
s0911,6849,3,134,348,109,993,1,1303,0,1179,177,833,0,304,0,258,0,195,0,236,0,146,166,302,162
s1176,85817,1580,1638,2943,2772,3389,3239,4146,4192,4853,4731,5200,5201,5257,5214,4693,4298,3958,4300,3337,3301,2552,2323,1512,1188
s0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0879,31709,1274,1598,2493,810,3668,996,4796,1233,4948,781,3726,30,1581,21,1451,3,1271,27,595,407,0,0,0,0
s0777,155946,4758,5314,4985,4866,5058,6065,7190,7750,9490,9073,9981,10271,10305,9517,9036,8745,7955,7618,5324,5196,2950,3105,752,642
s0808,73530,2678,2834,2660,2614,2998,3114,3934,4268,4282,4631,4442,4600,4322,4171,3567,3755,3496,3259,2258,2521,1132,1270,378,346
s0137,22283,0,0,0,0,0,0,0,0,3,0,649,606,1194,1005,1216,1284,1901,1943,3136,3220,2108,1995,904,1119
s0838,9487,0,0,688,515,3229,216,2857,234,1383,22,240,0,94,0,9,0,0,0,0,0,0,0,0,0
s0156,32437,0,0,0,0,0,0,374,0,1092,522,1712,1692,1958,2158,2133,2697,2830,4806,3144,2922,1744,1834,399,420
s1223,83200,2390,2554,2766,2819,3013,3182,4024,3967,4266,4109,4827,5315,5159,5394,4274,4488,4349,4505,2913,3134,1821,1971,1090,870
s0259,4043,1064,1121,979,874,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0310,91734,2673,1936,2829,2609,3630,3416,4522,4523,4871,5303,5581,6225,6508,6419,5096,5563,4399,4685,3235,3496,1628,1773,386,428
s0030,55339,0,0,0,0,0,0,114,92,1828,2492,2956,4093,4943,6148,5436,5587,5025,4582,3693,3320,2115,1842,426,647
s0810,135545,3574,3977,5024,5043,6236,6186,7152,7353,8111,8155,8645,8769,8903,9025,7849,8179,6617,6188,4926,3250,1451,932,0,0
s0600,38711,0,0,0,0,0,0,0,0,0,0,1365,1494,2607,2647,2671,2926,3066,3542,3660,4443,3584,3491,1663,1552
s1004,107848,2887,3088,3808,3846,5402,5442,6996,7301,7521,7577,8013,8217,7243,7038,5849,5516,4204,3583,2186,1720,282,129,0,0
s1368,27909,0,0,0,0,0,0,0,0,0,0,280,34,1614,1575,2217,2049,2890,2516,3585,3071,2723,2634,1493,1228
s0703,169243,3987,4032,4968,4463,6601,6767,8417,8612,8969,9758,10683,10599,11188,9926,9496,9127,8501,7933,6708,6419,4135,4323,1616,2015
s0312,5032,1009,1199,696,758,547,410,326,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0620,69649,0,0,0,0,0,0,0,0,969,745,2873,2597,4091,4381,4705,8089,5727,8318,6561,8628,5947,3164,2854,0
s0072,37240,0,0,0,0,0,0,0,0,0,0,0,11,1648,1844,2585,3132,4873,5482,4456,4870,2695,2939,1499,1206
s1332,81724,3013,3791,2506,2645,3314,3380,3678,3972,4500,4494,5400,5231,4575,4777,3523,4049,3859,3588,3049,3273,1992,1905,702,508
s0056,12151,2518,2319,1944,2391,1328,1534,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1238,128855,3765,4135,4295,4179,4792,4595,5676,6065,6621,6789,8381,8795,8305,8330,6748,6835,6347,6553,4458,4671,2858,2864,1388,1410
